__type,AreaNum,AreaType,BallotOrder,CandidateID,CountyID,CountyName,CurrentDateTime,IsReported,OfficeSeqNo,PartyCode,PartyName,PrecinctName,PrecinctsPartial,PrecinctsReporting,RaceID,RaceName,RecountPercent,RecountVotes,StatePrecinctID,TotalPrecincts,VoteFor,Winner,calcCandidate,calcCandidatePercentage,calcCandidateVotes,
MapData:#MontanaWebServices,SD 02,None,99,23894,15,Flathead,None,False,7002,REP,Republican,PCT 08,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,56,12,1,False,DOUG ADAMS,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23895,15,Flathead,None,False,7002,DEM,Democrat,PCT 08,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,56,12,1,False,DAVE FERN,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23894,15,Flathead,None,False,7002,REP,Republican,PCT 09,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,57,12,1,False,DOUG ADAMS,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23895,15,Flathead,None,False,7002,DEM,Democrat,PCT 09,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,57,12,1,False,DAVE FERN,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23894,15,Flathead,None,False,7002,REP,Republican,PCT 10,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,58,12,1,False,DOUG ADAMS,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23895,15,Flathead,None,False,7002,DEM,Democrat,PCT 10,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,58,12,1,False,DAVE FERN,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23894,15,Flathead,None,False,7002,REP,Republican,PCT 11,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,59,12,1,False,DOUG ADAMS,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23895,15,Flathead,None,False,7002,DEM,Democrat,PCT 11,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,59,12,1,False,DAVE FERN,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23894,15,Flathead,None,False,7002,REP,Republican,PCT 12,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,60,12,1,False,DOUG ADAMS,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23895,15,Flathead,None,False,7002,DEM,Democrat,PCT 12,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,60,12,1,False,DAVE FERN,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23894,15,Flathead,None,False,7002,REP,Republican,PCT 13,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,61,12,1,False,DOUG ADAMS,0,0,
MapData:#MontanaWebServices,SD 02,None,99,23895,15,Flathead,None,False,7002,DEM,Democrat,PCT 13,0,0,450000000001651,STATE SENATOR DISTRICT 2,0,0,61,12,1,False,DAVE FERN,0,0,
