,__type,AreaNum,AreaType,BallotOrder,CandidateID,CountyID,CountyName,CurrentDateTime,IsReported,OfficeSeqNo,PartyCode,PartyName,PrecinctName,PrecinctsPartial,PrecinctsReporting,RaceID,RaceName,RecountPercent,RecountVotes,StatePrecinctID,TotalPrecincts,VoteFor,Winner,calcCandidate,calcCandidatePercentage,calcCandidateVotes,Unnamed: 26
19,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,2,23795,1,Beaverhead,,False,2001,DEM,Democrat,PRECINCT 07 - D-RURAL,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,7,345,1,False,MONICA TRANEL,0,0,
20,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,99,23794,1,Beaverhead,,False,2001,LIB,Libertarian,PRECINCT 07 - D-RURAL,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,7,345,1,False,DENNIS HAYES,0,0,
21,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,99,23793,1,Beaverhead,,False,2001,REP,Republican,PRECINCT 08 - GRANT,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,8,345,1,False,RYAN K ZINKE,0,0,
22,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,2,23795,1,Beaverhead,,False,2001,DEM,Democrat,PRECINCT 08 - GRANT,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,8,345,1,False,MONICA TRANEL,0,0,
23,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,99,23794,1,Beaverhead,,False,2001,LIB,Libertarian,PRECINCT 08 - GRANT,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,8,345,1,False,DENNIS HAYES,0,0,
24,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,99,23793,1,Beaverhead,,False,2001,REP,Republican,PRECINCT 09 - D.RURAL,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,9,345,1,False,RYAN K ZINKE,0,0,
25,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,2,23795,1,Beaverhead,,False,2001,DEM,Democrat,PRECINCT 09 - D.RURAL,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,9,345,1,False,MONICA TRANEL,0,0,
26,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,99,23794,1,Beaverhead,,False,2001,LIB,Libertarian,PRECINCT 09 - D.RURAL,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,9,345,1,False,DENNIS HAYES,0,0,
27,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,99,23793,1,Beaverhead,,False,2001,REP,Republican,PRECINCT 12 - D.CITY,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,10,345,1,False,RYAN K ZINKE,0,0,
28,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,2,23795,1,Beaverhead,,False,2001,DEM,Democrat,PRECINCT 12 - D.CITY,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,10,345,1,False,MONICA TRANEL,0,0,
29,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,99,23794,1,Beaverhead,,False,2001,LIB,Libertarian,PRECINCT 12 - D.CITY,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,10,345,1,False,DENNIS HAYES,0,0,
30,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,99,23793,1,Beaverhead,,False,2001,REP,Republican,PRECINCT 14 - D.CITY,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,11,345,1,False,RYAN K ZINKE,0,0,
31,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,2,23795,1,Beaverhead,,False,2001,DEM,Democrat,PRECINCT 14 - D.CITY,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,11,345,1,False,MONICA TRANEL,0,0,
32,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,99,23794,1,Beaverhead,,False,2001,LIB,Libertarian,PRECINCT 14 - D.CITY,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,11,345,1,False,DENNIS HAYES,0,0,
33,MapData:#MontanaWebServices,1ST CONGRESSIONAL,,99,23793,1,Beaverhead,,False,2001,REP,Republican,PRECINCT 17 - REICHLE,0,0,450000000001603,UNITED STATES REPRESENTATIVE,0,0,12,345,1,False,RYAN K ZINKE,0,0,
